ProductID,ProductName,Brand,Description,UnitPrice
PD0001,Dog Food,FurryFriend,High-quality dog food with essential nutrients.,30.88
PD0002,Cat Food,FurryFriend,Nutritious cat food for all ages.,37.33
PD0003,Bird Seeds,NaturePet,Healthy bird seeds mix.,18.11
PD0004,Fish Flakes,PetLife,Specialized flakes for vibrant fish health.,5.07
PD0005,Dog Collar,ZooComfort,Durable collar with adjustable size.,20.88
PD0006,Cat Collar,HappyPaws,Comfortable cat collar with safety release.,30.68
PD0007,Bird Cage,AnimalCare,Spacious cage for small birds.,13.43
PD0008,Fish Tank,HappyPaws,Glass tank for small to medium fish.,35.07
PD0009,Dog Bed,PetLife,Cozy bed for dogs of all sizes.,28.56
PD0010,Cat Bed,PetLife,Soft bed designed for cats.,21.23
PD0011,Chew Toy,AnimalCare,Durable chew toy for dogs.,47.9
PD0012,Scratching Post,NaturePet,Sturdy scratching post for cats.,29.48
PD0013,Bird Perch,PetMaster,Comfortable perch for birds.,40.39
PD0014,Fish Filter,ZooComfort,Effective filter for fish tanks.,27.84
PD0015,Dog Leash,FurryFriend,Leash with ergonomic handle.,5.92
PD0016,Cat Litter,NaturePet,Absorbent cat litter for odor control.,44.3
PD0017,Bird Feeder,PetLife,Bird feeder for garden use.,6.96
PD0018,Fish Net,PetLife,Fish net with soft mesh.,22.41
PD0019,Hamster Wheel,ZooComfort,Wheel for hamster exercise.,21.8
PD0020,Reptile Heat Lamp,NaturePet,Heat lamp for reptiles.,38.63
PD0021,Dog Treats,FurryFriend,Tasty treats for dogs.,21.07
PD0022,Cat Treats,FurryFriend,Delicious treats for cats.,8.04
PD0023,Bird Bath,PetLife,Compact bird bath.,15.85
PD0024,Fish Decor,PetMaster,Decorative items for fish tank.,34.57
PD0025,Pet Shampoo,FurryFriend,Gentle shampoo for all pets.,9.66
