OrderID,StartDate,EndDate,Frequency
OR1032,2024/11/18,2024/11/25,Weekly
OR1509,2024/11/04,2025/11/04,Yearly
OR1883,2024/08/04,2024/08/11,Weekly
OR0123,2024/08/05,2024/09/04,Monthly
OR0101,2024/09/03,2025/09/03,Yearly
OR1925,2024/02/11,2024/03/12,Monthly
OR1077,2023/12/27,2024/12/26,Yearly
OR1842,2023/09/19,2023/10/19,Monthly
OR0413,2024/11/19,2025/11/19,Yearly
OR1739,2024/01/22,2024/02/21,Monthly
OR1362,2023/03/31,2023/04/30,Monthly
OR0235,2023/03/08,2023/04/07,Monthly
OR0341,2023/01/03,2024/01/03,Yearly
OR0600,2023/02/15,2023/02/22,Weekly
OR0438,2023/06/02,2024/06/01,Yearly
OR0070,2023/12/05,2024/01/04,Monthly
OR0679,2024/01/17,2024/01/24,Weekly
OR0025,2023/12/07,2024/12/06,Yearly
OR0865,2024/07/24,2024/08/23,Monthly
OR1788,2023/08/28,2024/08/27,Yearly
OR1633,2024/09/04,2024/09/11,Weekly
OR1608,2023/07/01,2023/07/31,Monthly
OR0989,2024/03/08,2024/04/07,Monthly
OR0360,2023/08/21,2024/08/20,Yearly
OR1300,2023/07/31,2023/08/30,Monthly
OR0383,2023/12/31,2024/12/30,Yearly
OR1018,2023/12/06,2023/12/13,Weekly
OR0248,2023/07/01,2023/07/08,Weekly
OR0684,2024/08/19,2024/09/18,Monthly
OR0489,2024/05/12,2025/05/12,Yearly
OR1195,2024/01/19,2025/01/18,Yearly
OR1383,2023/01/18,2023/01/25,Weekly
OR0417,2023/03/24,2023/03/31,Weekly
OR1826,2023/12/16,2024/12/15,Yearly
OR1763,2024/07/15,2025/07/15,Yearly
OR0996,2024/06/14,2025/06/14,Yearly
OR0301,2023/01/25,2023/02/01,Weekly
OR1507,2024/10/18,2025/10/18,Yearly
OR1284,2023/06/27,2023/07/04,Weekly
OR0618,2024/01/24,2024/01/31,Weekly
OR0077,2023/12/11,2024/12/10,Yearly
OR0662,2024/09/20,2025/09/20,Yearly
OR0373,2023/04/02,2024/04/01,Yearly
OR0666,2024/06/11,2024/06/18,Weekly
OR0533,2024/04/16,2024/04/23,Weekly
OR0991,2023/02/24,2024/02/24,Yearly
OR0087,2023/01/05,2023/01/12,Weekly
OR0554,2024/04/19,2025/04/19,Yearly
OR0887,2024/10/18,2024/11/17,Monthly
OR1241,2023/03/14,2024/03/13,Yearly
OR0062,2024/07/10,2024/07/17,Weekly
OR1679,2024/05/05,2024/06/04,Monthly
OR1111,2024/06/12,2024/07/12,Monthly
OR1527,2023/12/17,2024/01/16,Monthly
OR1740,2024/10/28,2025/10/28,Yearly
OR0006,2024/03/02,2024/03/09,Weekly
OR1102,2024/10/27,2024/11/03,Weekly
OR0444,2024/03/30,2024/04/06,Weekly
OR0513,2024/11/12,2024/12/12,Monthly
OR0888,2024/01/15,2025/01/14,Yearly
OR0844,2023/10/12,2023/10/19,Weekly
OR1298,2024/08/12,2025/08/12,Yearly
OR0117,2024/09/26,2024/10/03,Weekly
OR1103,2023/09/10,2023/10/10,Monthly
OR0350,2024/05/21,2024/05/28,Weekly
OR0577,2023/07/21,2023/07/28,Weekly
OR0939,2023/09/20,2024/09/19,Yearly
OR1429,2023/05/19,2024/05/18,Yearly
OR1783,2024/04/06,2024/05/06,Monthly
OR1696,2023/02/10,2023/02/17,Weekly
OR1196,2023/01/17,2023/01/24,Weekly
OR0755,2024/02/24,2024/03/25,Monthly
OR1569,2024/12/16,2024/12/23,Weekly
OR0111,2023/06/23,2023/07/23,Monthly
OR0321,2024/08/11,2024/08/18,Weekly
OR0971,2024/09/29,2025/09/29,Yearly
OR0097,2024/09/12,2024/09/19,Weekly
OR0086,2023/06/30,2023/07/07,Weekly
OR0784,2024/11/23,2024/12/23,Monthly
OR0958,2023/11/08,2023/12/08,Monthly
OR0918,2024/06/21,2024/07/21,Monthly
OR1078,2023/08/21,2023/09/20,Monthly
OR0779,2023/01/12,2023/02/11,Monthly
OR1142,2023/06/04,2023/06/11,Weekly
OR0080,2024/04/26,2024/05/03,Weekly
OR1973,2023/07/28,2024/07/27,Yearly
OR1704,2023/03/15,2023/04/14,Monthly
OR0232,2023/06/03,2023/07/03,Monthly
OR1793,2024/02/20,2024/03/21,Monthly
OR0351,2024/02/17,2024/03/18,Monthly
OR0016,2023/07/25,2023/08/01,Weekly
OR0943,2024/10/11,2024/10/18,Weekly
OR0322,2024/04/25,2025/04/25,Yearly
OR1072,2023/05/16,2023/05/23,Weekly
OR1949,2023/12/13,2024/01/12,Monthly
OR1901,2024/04/13,2024/05/13,Monthly
OR1139,2024/11/16,2025/11/16,Yearly
OR0245,2024/06/20,2025/06/20,Yearly
OR0450,2024/07/15,2024/07/22,Weekly
OR1511,2023/05/12,2023/05/19,Weekly
